"required",,,,,,,"optional","optional",,"optional","optional",,"optional","optional","optional",,,"optional","optional","optional","optional","optional",,"optional","optional","optional","optional","optional","optional","optional",,"optional",,"repeated","optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",
"int32",,,,,,,"int32","int32",,"string","string",,"int32","int32","string",,,"string","string","int32","int32","int32",,"int32","int32","int32","int32","int32","string","int32",,"int32",,5,4,"int32",,"int32",,4,"int32",,"int32",,4,"int32",,"int32",,4,"int32",,"int32",,4,"int32",,"int32",
"id",,,,,,,"bldg_type","bldg_lvl",,"transl_table_name","bldg_name",,"in_use","max_bldg_lvl","prefab_name",,,"icon_name","desc","ui_order","bldg_size","bldg_side_length",,"bldg_func_type","cult_pt","hr_slot_qty","buff_pro","max_labor_uk","bldg_func_table_name","bldg_func_table_id",,"time_cost",,"cost_table","CostStruct","cost_id",,"cost_qty",,"CostStruct","cost_id",,"cost_qty",,"CostStruct","cost_id",,"cost_qty",,"CostStruct","cost_id",,"cost_qty",,"CostStruct","cost_id",,"cost_qty",
"建筑ID","表示建筑","建筑类型",,,"建筑等级","索引字段","建筑类型
(bldg=building)
工业(Industry)=1
资源(Resource)=2
人类(Human)=3
防御(Defense)=4","建筑等级","客户端表现","翻译表名","建筑名称","内部名称","可用
1表示是
0表示否","建筑最大等级","模型名","图标路径","图标文件名称","图标名称","描述","界面排序","建筑体量
小(Small)=1
中(Medium)=2
大(Big)=3
小对应2x2
中对应3x3
大对应4x4","建筑占地边长","功能","建筑功能类型
(func=functional)
太空基地(SpaceStation)=101
星港(Spaceport)=102
舰体厂(FuncHullFact)=103
组装厂(ModFact)=104
配件厂(CpntFact)=105
采集厂(SurfCol)=201
提炼厂(Refinery)=202
核电厂(PowerPlant)=203
仓库(ItemStg)=204
聚居地(Habitat)=301","文明度","人力槽位数
(个)","加成职业
工程专家=1
科学专家=2
舰船专家=3
普通公民=4","人力储存上限
(个)","建筑功能表名","建筑功能表索引ID","消耗","消耗时间
(秒)","时间复制",,"cost_table","消耗ID","消耗名称","消耗数量
(qty=quantity)","数量复制","cost_table","消耗ID","消耗名称","消耗数量
(qty=quantity)","数量复制","cost_table","消耗ID","消耗名称","消耗数量
(qty=quantity)","数量复制","cost_table","消耗ID","消耗名称","消耗数量
(qty=quantity)","数量复制","cost_table","消耗ID","消耗名称","消耗数量
(qty=quantity)","数量复制"
111010001,11,1,1,0,1,,1,1,,"BuildingAttribute","SB","太空基地",1,12,"Kongjianzhan","UITexture/Bldg/",111010001,UITexture/Bldg/111010001.png,"SBDtl",-1,3,4,,101,10,3,3,100,"BLDG_SS",1,,32,31.5789473684211,2,,220000101,"1级原石",60,63.1578947368421,,220000201,"1级金属",40,37.8947368421053,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111010002,11,1,1,0,2,,1,2,,"BuildingAttribute","SB","太空基地",1,12,"Kongjianzhan","UITexture/Bldg/",111010002,UITexture/Bldg/111010002.png,"SBDtl",-1,3,4,,101,20,3,3,200,"BLDG_SS",2,,126,126.315789473684,2,,220000101,"1级原石",320,315.789473684211,,220000201,"1级金属",190,189.473684210526,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111010003,11,1,1,0,3,,1,3,,"BuildingAttribute","SB","太空基地",1,12,"Kongjianzhan","UITexture/Bldg/",111010003,UITexture/Bldg/111010003.png,"SBDtl",-1,3,4,,101,30,3,3,300,"BLDG_SS",3,,505,505.263157894737,2,,220000101,"1级原石",1600,1578.94736842105,,220000201,"1级金属",950,947.368421052632,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111010004,11,1,1,0,4,,1,4,,"BuildingAttribute","SB","太空基地",1,12,"Kongjianzhan","UITexture/Bldg/",111010004,UITexture/Bldg/111010004.png,"SBDtl",-1,3,4,,101,40,3,3,400,"BLDG_SS",4,,2021,2021.05263157895,2,,220000102,"2级原石",2600,2631.57894736842,,220000202,"2级金属",1600,1578.94736842105,,220000302,"2级气体",0,0,,220000402,"2级水晶",0,0,,0,,0,
111010005,11,1,1,0,5,,1,5,,"BuildingAttribute","SB","太空基地",1,12,"Kongjianzhan","UITexture/Bldg/",111010005,UITexture/Bldg/111010005.png,"SBDtl",-1,3,4,,101,50,3,3,500,"BLDG_SS",5,,6063,6063.15789473684,2,,220000102,"2级原石",9900,9868.42105263158,,220000202,"2级金属",5900,5921.05263157895,,220000302,"2级气体",0,0,,220000402,"2级水晶",0,0,,0,,0,
111010006,11,1,1,0,6,,1,6,,"BuildingAttribute","SB","太空基地",1,12,"Kongjianzhan","UITexture/Bldg/",111010006,UITexture/Bldg/111010006.png,"SBDtl",-1,3,4,,101,60,3,3,600,"BLDG_SS",6,,12126,12126.3157894737,3,,220000102,"2级原石",20000,19736.8421052632,,220000202,"2级金属",12000,11842.1052631579,,220000302,"2级气体",3900,3947.36842105263,,220000402,"2级水晶",0,0,,0,,0,
111010007,11,1,1,0,7,,1,7,,"BuildingAttribute","SB","太空基地",1,12,"Kongjianzhan","UITexture/Bldg/",111010007,UITexture/Bldg/111010007.png,"SBDtl",-1,3,4,,101,70,3,3,700,"BLDG_SS",7,,24253,24252.6315789474,3,,220000103,"3级原石",16000,16447.3684210526,,220000203,"3级金属",9900,9868.42105263158,,220000303,"3级气体",3300,3289.47368421053,,220000403,"3级水晶",0,0,,0,,0,
