,,,"required",,,,,,,"optional","optional",,"optional","optional",,,"optional","optional",,,"optional","optional","optional",,"optional",,"optional","optional","optional","optional",,"optional",,,,,"optional","repeated","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional",,"optional",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"int32",,,,,,,"int32","int32",,"string","string",,,"int32","int32",,,"string","string","int32",,"int32",,"int32","int32","int32","int32",,"int32",,,,,"int32",5,3,"int32",,"int32",3,"int32",,"int32",3,"int32",,"int32",3,"int32",,"int32",3,"int32",,"int32",,"int32",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"id",,,,,,,"cpnt_type","cpnt_lvl",,"transl_table_name","cpnt_name",,,"in_use","max_cpnt_lvl",,,"icon_name","desc","ui_order",,"bldg_lvl_req",,"slot_nrg_cost","cpnt_trait_1","cpnt_trait_2","cpnt_trait_3",,"time_cost",,,,,"ele_cost","cost_table","CostStruct","cost_id",,"cost_qty","CostStruct","cost_id",,"cost_qty","CostStruct","cost_id",,"cost_qty","CostStruct","cost_id",,"cost_qty","CostStruct","cost_id",,"cost_qty",,"stor_unit",,,,,,,,,,,,,,,,,,,,,,,,,,
"策划专用
配置区域","策划专用
配置区域","策划专用
配置区域","配件ID","表示配件","配件类型",,,"配件等级","索引字段","配件类型
攻击配件=1
防御配件=2
子系统配件=3","配件等级","客户端表现","翻译表名","配件名
(cpnt=component)","内部名称","注释","可用
1表示是
0表示否","配件最大等级","图标路径","图标文件名称","图标名称","描述","界面排序","限制","建筑等级要求","功能","槽位能量消耗","配件特性1","配件特性2","配件特性3","消耗","消耗时间
（秒）","天","时","分","秒","消耗电力",,"cost_table","消耗ID","消耗名称","消耗数量
(qty=quantity)","cost_table","消耗ID","消耗名称","消耗数量
(qty=quantity)","cost_table","消耗ID","消耗名称","消耗数量
(qty=quantity)","cost_table","消耗ID","消耗名称","消耗数量
(qty=quantity)","cost_table","消耗ID","消耗名称","消耗数量
(qty=quantity)","物品通用","储存体积
占用
(立方米)",,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,31000101,3,1,0,1,1,,1,1,,"ItemName","AcNWeapon1","射弹武器增幅器",,1,1,"UITexture/ShipCpnt/",31000101,UITexture/ShipCpnt/31000101.png,"AcNWeapon1Dtl",1,,1,,20,4010101,,,,120,,,2,,10,1,,220000101,"1级原石",300,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,31000102,3,1,0,1,2,,1,2,,"ItemName",,,,0,1,"UITexture/ShipCpnt/",31000102,UITexture/ShipCpnt/31000102.png,,,,,,20,4010101,,,,120,,,2,,10,1,,220000101,"1级原石",300,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,31000103,3,1,0,1,3,,1,3,,"ItemName",,,,0,1,"UITexture/ShipCpnt/",31000103,UITexture/ShipCpnt/31000103.png,,,,,,20,4010101,,,,120,,,2,,10,1,,220000101,"1级原石",300,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,32000101,3,2,0,1,1,,2,1,,"ItemName","AcNShield1","结构加固",,1,1,"UITexture/ShipCpnt/",32000101,UITexture/ShipCpnt/32000101.png,"AcNShield1Dtl",2,,2,,20,4010107,,,,120,,,2,,10,1,,220000101,"1级原石",300,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,32000102,3,2,0,1,2,,2,2,,"ItemName",,,,0,1,"UITexture/ShipCpnt/",32000102,UITexture/ShipCpnt/32000102.png,,,,,,20,4010107,,,,120,,,2,,10,1,,220000101,"1级原石",300,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,32000103,3,2,0,1,3,,2,3,,"ItemName",,,,0,1,"UITexture/ShipCpnt/",32000103,UITexture/ShipCpnt/32000103.png,,,,,,20,4010107,,,,120,,,2,,10,1,,220000101,"1级原石",300,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,33000101,3,3,0,1,1,,3,1,,"ItemName","AcNThrusters1","推进辅助器",,1,1,"UITexture/ShipCpnt/",33000101,UITexture/ShipCpnt/33000101.png,"AcNThrusters1Dtl",3,,3,,20,4010109,,,,120,,,2,,10,1,,220000101,"1级原石",300,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,33000102,3,3,0,1,2,,3,2,,"ItemName",,,,0,1,"UITexture/ShipCpnt/",33000102,UITexture/ShipCpnt/33000102.png,,,,,,20,4010109,,,,120,,,2,,10,1,,220000101,"1级原石",300,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,33000103,3,3,0,1,3,,3,3,,"ItemName",,,,0,1,"UITexture/ShipCpnt/",33000103,UITexture/ShipCpnt/33000103.png,,,,,,20,4010109,,,,120,,,2,,10,1,,220000101,"1级原石",300,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
