"required",,,,,,"optional",
"int32",,,,,,"int32",
"id",,,,,,"trait_type",
"特性ID","表示特性","特性类型",,,,"特性类型
核心特性=1
武器特性=2
防御特性=3
配件特性=4","特性逻辑"
41000001,4,1,0,0,1,1,
41000002,4,1,0,0,2,1,
41000003,4,1,0,0,3,1,
41000004,4,1,0,0,4,1,
41000005,4,1,0,0,5,1,
41000006,4,1,0,0,6,1,
41000007,4,1,0,0,7,1,
41000008,4,1,0,0,8,1,
41000009,4,1,0,0,9,1,
41000010,4,1,0,0,10,1,
41000011,4,1,0,0,11,1,
41000012,4,1,0,0,12,1,
41000013,4,1,0,0,13,1,
41000014,4,1,0,0,14,1,
41000015,4,1,0,0,15,1,
41000016,4,1,0,0,16,1,
41000017,4,1,0,0,17,1,
41000018,4,1,0,0,18,1,
41000019,4,1,0,0,19,1,
41000020,4,1,0,0,20,1,
41000021,4,1,0,0,21,1,
41000022,4,1,0,0,22,1,
41000023,4,1,0,0,23,1,
41000024,4,1,0,0,24,1,
41000025,4,1,0,0,25,1,
41000026,4,1,0,0,26,1,
41000027,4,1,0,0,27,1,
41000028,4,1,0,0,28,1,
41000029,4,1,0,0,29,1,
41000030,4,1,0,0,30,1,
42000001,4,2,0,0,1,2,
42000002,4,2,0,0,2,2,
42000003,4,2,0,0,3,2,
42000004,4,2,0,0,4,2,
42000005,4,2,0,0,5,2,
42000006,4,2,0,0,6,2,
42000007,4,2,0,0,7,2,
42000008,4,2,0,0,8,2,
42000009,4,2,0,0,9,2,
42000010,4,2,0,0,10,2,
42000011,4,2,0,0,11,2,
42000012,4,2,0,0,12,2,
42000013,4,2,0,0,13,2,
42000014,4,2,0,0,14,2,
42000015,4,2,0,0,15,2,
42000016,4,2,0,0,16,2,
42000017,4,2,0,0,17,2,
42000018,4,2,0,0,18,2,
42000019,4,2,0,0,19,2,
42000020,4,2,0,0,20,2,
42000021,4,2,0,0,21,2,
42000022,4,2,0,0,22,2,
42000023,4,2,0,0,23,2,
42000024,4,2,0,0,24,2,
42000025,4,2,0,0,25,2,
42000026,4,2,0,0,26,2,
42000027,4,2,0,0,27,2,
42000028,4,2,0,0,28,2,
42000029,4,2,0,0,29,2,
42000030,4,2,0,0,30,2,
43000001,4,3,0,0,1,3,
43000002,4,3,0,0,2,3,
43000003,4,3,0,0,3,3,
43000004,4,3,0,0,4,3,
43000005,4,3,0,0,5,3,
43000006,4,3,0,0,6,3,
43000007,4,3,0,0,7,3,
43000008,4,3,0,0,8,3,
43000009,4,3,0,0,9,3,
43000010,4,3,0,0,10,3,
43000011,4,3,0,0,11,3,
43000012,4,3,0,0,12,3,
43000013,4,3,0,0,13,3,
43000014,4,3,0,0,14,3,
43000015,4,3,0,0,15,3,
43000016,4,3,0,0,16,3,
43000017,4,3,0,0,17,3,
43000018,4,3,0,0,18,3,
43000019,4,3,0,0,19,3,
43000020,4,3,0,0,20,3,
43000021,4,3,0,0,21,3,
43000022,4,3,0,0,22,3,
43000023,4,3,0,0,23,3,
43000024,4,3,0,0,24,3,
43000025,4,3,0,0,25,3,
43000026,4,3,0,0,26,3,
43000027,4,3,0,0,27,3,
43000028,4,3,0,0,28,3,
43000029,4,3,0,0,29,3,
43000030,4,3,0,0,30,3,
44000001,4,4,0,0,1,4,"射弹伤害提高5%"
44000002,4,4,0,0,2,4,"能量伤害提高5%"
44000003,4,4,0,0,3,4,"混合伤害提高5%"
44000004,4,4,0,0,4,4,"炸弹伤害提高5%"
44000005,4,4,0,0,5,4,"导弹伤害提高5%"
44000006,4,4,0,0,6,4,"末日伤害提高5%"
44000007,4,4,0,0,7,4,"结构HP提高5%"
44000008,4,4,0,0,8,4,"护盾HP提高5%"
44000009,4,4,0,0,9,4,"移速提高5%"
44000010,4,4,0,0,10,4,
44000011,4,4,0,0,11,4,
44000012,4,4,0,0,12,4,
44000013,4,4,0,0,13,4,
44000014,4,4,0,0,14,4,
44000015,4,4,0,0,15,4,
44000016,4,4,0,0,16,4,
44000017,4,4,0,0,17,4,
44000018,4,4,0,0,18,4,
44000019,4,4,0,0,19,4,
44000020,4,4,0,0,20,4,
44000021,4,4,0,0,21,4,
44000022,4,4,0,0,22,4,
44000023,4,4,0,0,23,4,
44000024,4,4,0,0,24,4,
44000025,4,4,0,0,25,4,
44000026,4,4,0,0,26,4,
44000027,4,4,0,0,27,4,
44000028,4,4,0,0,28,4,
44000029,4,4,0,0,29,4,
44000030,4,4,0,0,30,4,
