"required",,,,,,,,,"optional",,"optional","optional",,,"optional","optional",,,"optional","optional","optional",,,,"repeated","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional",,"optional","repeated","optional","optional","optional",,"optional",,,,,"optional","optional","repeated","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional"
"int32",,,,,,,,,"int32",,"string","string",,,"int32","int32",,,"string","string","int32",,,,3,3,"int32",,"int32",3,"int32",,"int32",3,"int32",,"int32",,"int32",3,"int32","int32","int32",,"int32",,,,,"int32","int32",5,3,"int32",,"int32",3,"int32",,"int32",3,"int32",,"int32",3,"int32",,"int32",3,"int32",,"int32"
"id",,,,,,,,,"bldg_tech_lvl",,"transl_table_name","tech_name",,,"in_use","max_tech_lvl",,,"icon_name","tech_desp","tech_coord",,,,"func_param_table","FuncParamStruct","func_param_id",,"func_param_value","FuncParamStruct","func_param_id",,"func_param_value","FuncParamStruct","func_param_id",,"func_param_value",,"user_lvl_req","pre_tech_id","pre_tech_id","pre_tech_id","pre_tech_id",,"time_cost",,,,,"sd_cost","tp_cost","cost_table","CostStruct","cost_id",,"cost_qty","CostStruct","cost_id",,"cost_qty","CostStruct","cost_id",,"cost_qty","CostStruct","cost_id",,"cost_qty","CostStruct","cost_id",,"cost_qty"
"生产科技ID","表示生产科技","建筑类型",,,"科技等级","索引字段","建筑类型
(bldg=building)
工业(Industry)=1
资源(Resource)=2
人类(Human)=3
防御(Defense)=4","建筑功能类型
(func=functional)
太空基地(SpaceStation)=101
星港(Spaceport)=102
舰体厂(FuncHullFact)=103
组装厂(ModFact)=104
配件厂(CpntFact)=105
采集厂(SurfCol)=201
提炼厂(Refinery)=202
核电厂(PowerPlant)=203
仓库(ItemStg)=204
聚居地(Habitat)=301","科技等级","客户端表现","翻译表名","科技名称","建筑名称","建筑名称","可用
1表示是
0表示否","科技最大等级","图标路径","图标文件名称","图标名称","科技描述","UI坐标","UI坐标X","UI坐标Y","功能",,"func_param_table","功能参数ID","字段描述","参数值","func_param_table","功能参数ID","字段描述","参数值","func_param_table","功能参数ID","字段描述","参数值","限制","玩家等级
要求",,"前置科技ID
(pre=prerequisite)","前置科技ID
(pre=prerequisite)","前置科技ID
(pre=prerequisite)","消耗","消耗时间
（秒）","天","时","分","秒","消耗星尘数","消耗科技点数",,"cost_table","消耗ID","消耗名称","消耗数量","cost_table","消耗ID","消耗名称","消耗数量","cost_table","消耗ID","消耗名称","消耗数量","cost_table","消耗ID","消耗名称","消耗数量","cost_table","消耗ID","消耗名称","消耗数量"
321010101,32,1,1,1,1,,1,101,1,,,,"太空基地","太空基地",0,,"UITexture/TechProd/",321010101,UITexture/TechProd/321010101.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,100,1,0,,0,,,,,,,,,,,,,,,,,,
321010102,32,1,1,1,2,,1,101,2,,,,"太空基地","太空基地",0,,"UITexture/TechProd/",321010102,UITexture/TechProd/321010102.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,100,1,0,,0,,,,,,,,,,,,,,,,,,
321010103,32,1,1,1,3,,1,101,3,,,,"太空基地","太空基地",0,,"UITexture/TechProd/",321010103,UITexture/TechProd/321010103.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,100,1,0,,0,,,,,,,,,,,,,,,,,,
321010104,32,1,1,1,4,,1,101,4,,,,"太空基地","太空基地",0,,"UITexture/TechProd/",321010104,UITexture/TechProd/321010104.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,100,1,0,,0,,,,,,,,,,,,,,,,,,
321010105,32,1,1,1,5,,1,101,5,,,,"太空基地","太空基地",0,,"UITexture/TechProd/",321010105,UITexture/TechProd/321010105.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,100,1,0,,0,,,,,,,,,,,,,,,,,,
321020101,32,1,2,1,1,,1,102,1,,"SkillTree","STName3210201","星港","维修速度系数科技",1,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",2004,2,4,,1,,121020001,"维修速度系数",5,,,,,,,,,,3,0,,,,,60,,,1,,100,10,0,,0,,,,,,,,,,,,,,,,,,
321020102,32,1,2,1,2,,1,102,2,,"SkillTree","STName3210201","星港","维修速度系数科技",1,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",10,,,,,,,,,,0,0,,,,,120,,,2,,200,20,0,,0,,,,,,,,,,,,,,,,,,
